wavelength (nm),intensity (counts)
531.56,44424
531.9,44552
532.25,44651
532.59,43994
532.94,45238
533.28,43985
533.63,44616
533.97,44046
534.32,44494
534.66,44555
535.01,43863
535.35,43700
535.7,43860
536.04,44578
536.39,44706
536.73,43453
537.08,43639
537.42,44270
537.77,44898
538.11,43918
538.45,44578
538.8,44081
539.14,45526
539.49,44389
540.18,43316
540.52,44174
540.86,44180
541.21,43607
541.55,43825
541.9,43363
542.24,43200
542.58,42505
542.93,43767
543.27,44244
543.62,44450
543.96,43412
544.3,44453
544.65,44453
544.99,44113
545.33,44107
545.68,44552
546.02,44232
546.37,44174
546.71,44238
547.05,43994
547.4,44337
547.74,44590
548.08,44491
548.43,43709
548.77,43427
549.11,44523
549.45,44581
549.8,44584
550.14,44049
550.48,44430
550.83,44907
551.17,44436
551.51,45218
551.85,44779
552.2,45599
552.54,44276
552.88,44782
553.22,44116
553.57,46041
553.91,44308
554.25,45006
554.59,45192
554.94,45195
555.28,45666
555.62,45387
555.96,45239
556.31,45649
556.65,45387
556.99,45262
557.33,45172
557.67,45829
558.02,45361
558.36,46155
558.7,45800
559.04,45832
559.38,46053
559.72,46405
560.07,46204
560.41,46966
560.75,45707
561.09,46155
561.43,46469
561.77,46097
562.11,46812
562.46,46312
562.8,46719
563.14,46603
563.48,46658
563.82,46862
564.16,47039
564.5,47138
564.84,47638
565.18,47010
565.53,47327
565.87,47260
566.21,47327
566.55,46984
566.89,47513
567.23,47228
567.57,46882
567.91,46984
568.25,46926
568.59,47010
568.93,48048
569.27,47321
569.61,48118
569.95,47999
570.29,47647
570.63,47757
570.97,46888
571.31,47769
571.65,48560
571.99,47580
572.33,47487
572.67,47388
573.01,48964
573.35,47170
573.69,47586
574.03,48019
574.37,47615
574.71,47670
575.05,48016
575.39,47740
575.73,47967
576.07,48595
576.41,47385
576.75,48025
577.09,48028
577.43,47775
577.77,48025
578.11,46943
578.45,47836
578.78,47856
579.12,48240
579.46,48115
579.8,47513
580.14,47080
580.48,47551
580.82,48147
581.16,47897
581.5,47638
581.83,47295
582.17,48016
582.51,48173
582.85,47231
583.19,47452
583.53,47859
583.86,47289
584.2,48016
584.54,47164
584.88,46882
585.22,47853
585.56,47853
585.89,47356
586.23,47705
586.57,48548
586.91,48327
587.25,47923
587.58,48484
587.92,48545
588.26,48385
588.6,47507
588.93,47289
589.27,49205
589.61,48289
589.95,48132
590.28,48362
590.62,48481
590.96,47882
591.3,47603
591.63,49068
591.97,48981
592.31,49144
592.65,48792
592.98,48382
593.32,48853
593.66,48789
593.99,48164
594.33,48286
594.67,49391
595,49664
595.34,48510
595.68,49408
596.01,48248
596.35,50574
596.69,48373
597.02,50385
597.36,49010
597.7,50385
598.03,49632
598.37,50388
598.71,50196
599.04,50222
599.38,50475
599.71,50542
600.05,50792
600.39,50777
600.72,51228
601.06,50132
601.4,50943
601.73,51257
602.07,52734
602.4,51943
602.74,51530
603.07,52350
603.41,52603
603.75,53231
604.08,52751
604.42,52946
604.75,53824
605.09,53821
605.42,53533
605.76,53696
606.09,54199
606.43,54382
606.76,55347
607.1,55036
607.43,55315
607.77,56603
608.1,56937
608.44,57193
608.77,57824
609.11,57350
609.44,57475
609.78,59074
610.11,58225
610.45,59013
610.78,60455
611.12,61045
611.45,60885
611.78,61382
612.12,62350
612.45,62161
612.79,62158
613.12,64498
613.46,63498
613.79,64024
614.12,64681
614.46,66437
614.79,66777
615.13,68716
615.46,68373
615.79,69475
